shidu,wendu,shineiwendu,ziwaixian,fushe,fengsu,fengxiang
72.5,9.435,11.6,-55.36,0,0,115
75,8.761,11.2,-55.436,0,0,115
76.5,8.594,11,-55.395,0,0,115
77,8.528,10.7,-55.421,0,0,115
78.5,8.337,10.5,-55.498,0,0.101,115.424
78.5,8.312,10.3,-55.364,0,0,115
79.5,8.219,10.3,-55.272,0,0,115
81,7.789,10,-55.403,0,0,115
80.5,7.594,9.7,-55.444,0,0,115
82,7.523,9.4,-55.389,0,0,115
81.5,7.499,9.2,-55.404,0,0,115
82.5,7.202,8.9,-55.304,0,0,115
82,6.931,8.7,-55.311,0,0.101,115.424
83,6.83,8.5,-55.399,0,0.101,115.424
83,7.068,8.8,-55.407,11.994,0,115
81.5,8.114,9.9,-55.377,77.95,0,115
75.5,10.741,12.3,-55.291,155.9,0,115
64,14.444,15.3,-55.266,233.9,0,115
55.75,16.587,19.3,-55.299,275.8,0,115
49,18.224,23.3,-55.483,359.8,0,123.5
43.5,19.957,26.7,-55.449,413.8,0,196
36.25,21.095,29,-55.34,449.8,0.403,134.848
33.462,21.239,30.2,-55.48,479.8,0.304,324.272
31.625,21.734,31,-55.303,485.8,0.101,267.696
32.212,21.992,32.2,-55.369,485.8,1.113,42.052
30.5,22.66,33.6,-55.498,191.9,0.608,112.068
29.5,22.715,33.8,-55.498,437.8,0.101,126.424
28.25,23.319,33.7,-55.295,149.9,0.101,101.424
28.731,23.397,33,-55.493,137.9,2.121,126.372
26.875,23.699,30.2,-55.42,119.95,0.202,123.924
26.5,23.444,28.6,-55.322,95.95,0,129
27.25,23.12,28.4,-55.341,77.95,0.304,120.568
29.75,22.636,27.8,-55.418,53.975,0,162
35.75,21.29,25.8,-55.433,29.988,0,162
41.25,19.713,23.5,-55.442,5.997,0,162
46,17.643,21.2,-55.42,0,0,162
51.5,16.11,19.7,-55.402,0,0,162
55.5,15.414,18.5,-55.468,0,0,300
59,14.567,17.6,-55.279,0,0,300
62.5,13.73,16.7,-55.403,0,0,233
66,13.063,16,-55.479,0,0,233
68.5,12.302,15.4,-55.354,0,0,233
70.5,11.793,14.8,-55.431,0,0,233
73.5,11.469,14.3,-55.335,0,0,233
75.5,10.95,13.8,-55.412,0,0,233
75.5,10.826,13.5,-55.357,0,0,233
76.5,10.625,13.3,-55.342,0,0,233
78.424,10.583,12.9,-55.289,0,0.201,233.848
79,10.335,12.8,-55.434,0,0,233
79,10.094,12.6,-55.313,0,0,233
76.5,10.612,12.5,-55.342,0,0,233
78.5,9.969,12.3,-55.311,0,0,250
79.5,10.068,12.2,-55.484,0,0,250
78.5,10.54,12.1,-55.25,0,0,250
78,10.643,12.2,-55.263,0,0.201,250.848
70.424,12.316,12.3,-55.264,0,0.805,267.696
67,12.74,12.4,-55.451,0,0.201,275.696
64,13.421,12.5,-55.297,0,0.402,293.696
66,12.745,12.5,-55.398,0,0.402,293.696
70,11.907,12.4,-55.273,0,0,266
69.924,12.375,12.1,-55.328,0,0.906,311.408
71.64,11.981,12.1,-55.3,0,0.703,309.984
74.14,11.792,12.4,-55.324,17.988,0.507,306.56
75.068,12.351,13.4,-55.264,53.975,0.403,309.696
75.424,13.415,15.4,-55.404,119.95,0.403,303.696
75.924,14.39,16.7,-55.345,101.95,0.506,324.56
72.424,15.955,19.4,-55.461,269.8,0.404,317.696
61.962,18.289,23.4,-55.43,233.9,3.024,30.99
57.07,18.941,26.4,-55.393,275.8,2.324,22.459
